Date,Close,Volume
40178,1115.1,2076990000
40177,1126.42,2277300000
40176,1126.2,2491020000
40175,1127.78,2716400000
40171,1126.48,1267710000
40170,1120.59,3166870000
40169,1118.02,3641130000
40168,1114.05,3977340000
40165,1102.47,6325890000
40164,1096.08,7615070400
40163,1109.18,4829820000
40162,1107.93,5045100000
40161,1114.11,4548490000
40158,1106.41,3791090000
40157,1102.35,3996490000
40156,1095.95,4115410000
40155,1091.94,4748030000
40154,1103.25,4103360000
40151,1105.98,5781140000
40150,1099.92,4810030000
40149,1109.24,3941340000
40148,1108.86,4249310000
40147,1095.63,3895520000
40144,1091.49,2362910000
40142,1110.63,3036350000
40141,1105.65,3700820000
40140,1106.24,3827920000
40137,1091.38,3751230000
40136,1094.9,4178030000
40135,1109.8,4293340000
40134,1110.32,3824070000
40133,1109.3,4565850000
40130,1093.48,3792610000
40129,1087.24,4160250000
40128,1098.51,4286700000
40127,1093.01,4394770000
40126,1093.08,4460030000
40123,1069.3,4277130000
40122,1066.63,4848350000
40121,1046.5,5635510000
40120,1045.41,5487500000
40119,1042.88,6202640000
40116,1036.19,6512420000
40115,1066.11,5595040000
40114,1042.63,6600350000
40113,1063.41,5337380000
40112,1066.95,6363380000
40109,1079.6,4767460000
40108,1092.91,5192410000
40107,1081.4,5616290000
40106,1091.06,5396930000
40105,1097.91,4619240000
40102,1087.68,4894740000
40101,1096.56,5369780000
40100,1092.02,5406420000
40099,1073.19,4320480000
40098,1076.19,3710430000
40095,1071.49,3763780000
40094,1065.48,4988400000
40093,1057.58,4238220000
40092,1054.72,5029840000
40091,1040.46,4313310000
40088,1025.21,5583240000
40087,1029.85,5791450000
40086,1057.08,5998860000
40085,1060.61,4949900000
40084,1062.98,3726950000
40081,1044.38,4507090000
40080,1050.78,5505610000
40079,1060.87,5531930000
40078,1071.66,5246600000
40077,1064.66,4615280000
40074,1068.3,5607970000
40073,1065.49,6668110000
40072,1068.76,6793529600
40071,1052.63,6185620000
40070,1049.34,4979610000
40067,1042.73,4922600000
40066,1044.14,5191380000
40065,1033.37,5202550000
40064,1025.39,5235160000
40060,1016.4,4097370000
40059,1003.24,4624280000
40058,994.75,5842730000
40057,998.04,6862360000
40056,1020.62,5004560000
40053,1028.93,5785780000
40052,1030.98,5785880000
40051,1028.12,5080060000
40050,1028,5768740000
40049,1025.57,6302450000
40046,1026.13,5885550000
40045,1007.37,4893160000
40044,996.46,4257000000
40043,989.67,4198970000
40042,979.73,4088570000
40039,1004.09,4940750000
40038,1012.73,5250660000
40037,1005.81,5498170000
40036,994.35,5773160000
40035,1007.1,5406080000
40032,1010.48,6827089600
40031,997.08,6753380000
40030,1002.72,7242120000
40029,1005.65,5713700000
40028,1002.63,5603440000
40025,987.48,5139070000
40024,986.75,6035180000
40023,975.15,5178770000
40022,979.62,5490350000
40021,982.18,4631290000
40018,979.26,4458300000
40017,976.29,5761650000
40016,954.07,4634100000
40015,954.58,5309300000
40014,951.13,4853150000
40011,940.38,5141380000
40010,940.74,4898640000
40009,932.68,5238830000
40008,905.84,4149030000
40007,901.05,4499440000
40004,879.13,3912080000
40003,882.68,4347170000
40002,879.56,5721780000
40001,881.03,4673300000
40000,898.72,4712580000
39996,896.42,3931000000
39995,923.33,3919400000
39994,919.32,4627570000
39993,927.23,4211760000
39990,918.9,6076660000
39989,920.26,4911240000
39988,900.94,4636720000
39987,895.1,5071020000
39986,893.04,4903940000
39983,921.23,5713390000
39982,918.37,4684010000
39981,910.71,5523650000
39980,911.97,4951200000
39979,923.72,4697880000
39976,946.21,4528120000
39975,944.89,5500840000
39974,939.15,5379420000
39973,942.43,4439950000
39972,939.14,4483430000
39969,940.09,5277910000
39968,942.46,5352890000
39967,931.76,5323770000
39966,944.74,5987340000
39965,942.87,6370440000
39962,919.14,6050420000
39961,906.83,5738980000
39960,893.06,5698800000
39959,910.33,5667050000
39955,887,5155320000
39954,888.33,6019840000
39953,903.47,8205060000
39952,908.13,6616270000
39951,909.71,5702150000
39948,882.88,5439720000
39947,893.07,6134870000
39946,883.92,7091820000
39945,908.35,6871750400
39944,909.24,6150600000
39941,929.23,8163280000
39940,907.39,9120100000
39939,919.53,8555040000
39938,903.8,6882860000
39937,907.24,7038840000
39934,877.52,5312170000
39933,872.81,6862540000
39932,873.64,6101620000
39931,855.16,6328000000
39930,857.51,5613460000
39927,866.23,7114440000
39926,851.92,6563100000
39925,843.55,7327860000
39924,850.08,7436489600
39923,832.39,6973960000
39920,869.6,7352009600
39919,865.3,6598670000
39918,852.06,6241100000
39917,841.5,7569840000
39916,858.73,6434890000
39912,856.56,7600710400
39911,825.16,5938460000
39910,815.55,5155580000
39909,835.48,6210000000
39906,842.5,5855640000
39905,834.38,7542809600
39904,811.08,6034140000
39903,797.87,6089100000
39902,787.53,5912660000
39899,815.94,5600210000
39898,832.86,6992960000
39897,813.88,7687180000
39896,806.12,6767980000
39895,822.92,7715769600
39892,768.54,7643720000
39891,784.04,9033870400
39890,794.35,9098449600
39889,778.12,6156800000
39888,753.89,7883540000
39885,756.55,6787089600
39884,750.74,7326630400
39883,721.36,7287809600
39882,719.6,8618329600
39881,676.53,7277320000
39878,683.38,7331830400
39877,682.55,7507249600
39876,712.87,7673620000
39875,696.33,7583230400
39874,700.82,7868289600
39871,735.09,8926480000
39870,752.83,7599969600
39869,764.9,7483640000
39868,773.14,7234489600
39867,743.33,6509300000
39864,770.05,8210590400
39863,778.94,5746940000
39862,788.42,5740710000
39861,789.17,5907820000
39857,826.84,5296650000
39856,835.19,6476460000
39855,833.74,5926460000
39854,827.16,6770169600
39853,869.89,5574370000
39850,868.6,6484100000
39849,845.85,6624030000
39848,832.23,6420450000
39847,838.51,5886310000
39846,825.44,5673270000
39843,825.88,5350580000
39842,845.14,5067060000
39841,874.09,6199180000
39840,845.71,5353260000
39839,836.57,6039940000
39836,831.95,5832160000
39835,827.5,5843830000
39834,840.24,6467830000
39833,805.22,6375230000
39829,850.12,6786040000
39828,843.74,7807350400
39827,842.62,5407880000
39826,871.79,5017470000
39825,870.26,4725050000
39822,890.35,4716500000
39821,909.73,4991550000
39820,906.65,4704940000
39819,934.7,5392620000
39818,927.45,5413910000
39815,931.8,4048270000
39813,903.25,4172940000
